curve,angle_deg,distortion,scale_q16
laser,47.43,-0.0101373277,64872
laser,48.36,-0.0105144725,64847
laser,49.29,-0.0108969923,64822
laser,50.22,-0.0112847689,64796
laser,51.15,-0.0116776808,64771
laser,52.08,-0.0120756034,64745
laser,53.01,-0.0124784089,64718
laser,53.94,-0.0128859661,64692
laser,54.87,-0.0132981404,64664
laser,55.8,-0.0137147935,64637
laser,56.73,-0.0141357837,64610
laser,57.66,-0.0145609651,64582
laser,58.59,-0.0149901879,64554
laser,59.52,-0.0154232984,64525
laser,60.45,-0.0158601381,64497
laser,61.38,-0.0163005445,64468
laser,62.31,-0.0167443499,64439
laser,63.24,-0.0171913819,64409
laser,64.17,-0.017641463,64380
laser,65.1,-0.01809441,64350
laser,66.03,-0.0185500341,64320
laser,66.96,-0.0190081404,64290
laser,67.89,-0.0194685276,64260
laser,68.82,-0.0199309878,64230
laser,69.75,-0.0203953058,64199
laser,70.68,-0.0208612588,64169
laser,71.61,-0.0213286163,64138
laser,72.54,-0.021797139,64108
laser,73.47,-0.0222665786,64077
laser,74.4,-0.0227366772,64046
laser,75.33,-0.0232071667,64015
laser,76.26,-0.0236777679,63984
laser,77.19,-0.02414819,63953
laser,78.12,-0.0246181296,63923
laser,79.05,-0.0250872699,63892
laser,79.98,-0.0255552799,63861
laser,80.91,-0.026021813,63831
laser,81.84,-0.026486506,63800
laser,82.77,-0.0269489781,63770
laser,83.7,-0.0274088292,63740
laser,84.63,-0.0278656388,63710
laser,85.56,-0.0283189638,63680
laser,86.49,-0.0287683375,63651
laser,87.42,-0.029213267,63621
laser,88.35,-0.0296532315,63593
laser,89.28,-0.0300876798,63564
laser,90.21,-0.0305160271,63536
laser,91.14,-0.0309376562,63508
laser,92.07,-0.031351906,63481
laser,93,-0.0317580769,63455
